symbol	R603	R607	R614	R621
EXTL1	0	1	0	0
PDIK1L	1	0	0	0
ZNF593	0	0	0	0
CNKSR1	0	0	1	0
CEP85	0	0	0	0
SH3BGRL3	0	0	0	0
UBXN11	0	0	0	0
DHDDS	0	0	0	0
HMGN2	0	0	0	0
RPS6KA1	0	0	0	0
RP5-968P14.2	1	0	0	0
ARID1A	0	0	0	0
PIGV	0	0	0	0
ZDHHC18	0	0	0	0
SFN	0	1	1	1
GPN2	0	0	0	0
GPATCH3	0	0	0	0
NUDC	1	0	0	0
TRNP1	1	0	0	0
FAM46B	1	0	0	0
SLC9A1	1	0	0	0
WDTC1	0	0	0	0
TMEM222	0	0	0	0
SYTL1	1	1	0	1
MAP3K6	0	0	0	0
GPR3	0	0	0	0
WASF2	0	0	0	0
AHDC1	0	0	0	0
IFI6	0	0	0	0
FAM76A	0	0	0	0
STX12	0	0	0	0
PPP1R8	0	0	0	0
THEMIS2	0	0	0	0
RPA2	0	0	0	0
SMPDL3B	0	1	0	0
XKR8	1	1	0	0
EYA3	0	0	0	0
SPCS2P4	1	0	0	0
PTAFR	1	0	1	0
DNAJC8	0	0	0	0
ATPIF1	0	0	0	0
RP5-1092A3.4	1	0	0	1
SESN2	1	1	0	0
MED18	0	0	0	0
PHACTR4	0	0	0	0
RCC1	0	0	0	0
SNHG3	0	0	0	0
TRNAU1AP	0	1	0	0
SNHG12	0	0	0	0
SNORD99	0	0	0	0
TAF12	0	0	0	0
RP11-442N24__B.1	1	1	1	0
GMEB1	0	0	0	0
YTHDF2	0	0	0	0
EPB41	0	0	0	0
TMEM200B	0	0	0	0
SRSF4	0	0	0	0
MECR	0	0	0	0
PTPRU	0	0	1	1
MATN1-AS1	0	0	0	0
RP1-65J11.1	0	1	0	0
SDC3	0	0	0	0
PUM1	0	0	0	0
NKAIN1	0	0	0	0
SNRNP40	0	0	0	0
RP11-490K7.4	1	0	0	0
ZCCHC17	0	0	0	0
PEF1	0	0	0	0
COL16A1	0	0	1	0
BAI2	1	0	0	0
SPOCD1	1	1	0	0
RP11-84A19.4	1	0	1	0
PTP4A2	0	0	0	0
KHDRBS1	0	0	0	0
TMEM39B	1	0	0	0
KPNA6	0	0	0	0
TXLNA	0	0	0	0
CCDC28B	1	0	0	0
RP4-622L5.7	0	1	0	1
IQCC	0	0	0	0
TMEM234	0	1	0	0
EIF3I	0	0	0	0
FAM167B	1	0	0	1
HDAC1	0	0	0	0
MARCKSL1	0	0	0	0
TSSK3	0	0	1	0
FAM229A	0	0	0	0
BSDC1	0	0	0	0
ZBTB8A	0	0	0	0
ZBTB8OS	0	0	0	0
RBBP4	0	0	0	0
SYNC	0	1	1	1
KIAA1522	0	0	0	1
YARS	0	0	0	0
S100PBP	0	0	0	0
FNDC5	1	0	0	0
TMEM54	0	0	0	0
RNF19B	0	0	0	0
AK2	0	0	0	0
AZIN2	0	0	0	0
TRIM62	0	0	0	0
ZNF362	0	1	0	0
RP11-415J8.7	0	1	0	0
PHC2	0	1	0	0
RN7SKP16	0	0	0	0
ZSCAN20	0	0	0	0
SMIM12	1	0	0	0
GJB5	1	0	0	0
GJB4	0	0	0	0
GJB3	0	0	0	0
DLGAP3	0	0	0	0
RP11-244H3.1	0	1	0	1
ZMYM6	0	0	0	0
ZMYM1	0	0	0	0
SFPQ	0	0	0	0
ZMYM4	0	0	0	0
KIAA0319L	0	0	0	0
NCDN	0	0	0	0
TFAP2E	0	0	1	1
PSMB2	0	0	0	0
C1orf216	0	0	0	0
CLSPN	0	0	0	0
RP11-435D7.3	0	0	1	1
AGO4	1	0	0	0
AGO1	0	0	0	0
AGO3	1	0	0	0
ADPRHL2	0	0	0	0
COL8A2	1	1	1	1
TRAPPC3	0	0	0	0
MAP7D1	0	1	0	0
THRAP3	0	0	0	0
SH3D21	0	1	1	1
EVA1B	0	0	0	0
RP11-268J15.5	0	1	0	1
STK40	0	0	0	0
LSM10	0	0	0	0
OSCP1	0	0	0	0
MRPS15	0	0	0	0
ZC3H12A	0	0	0	0
MEAF6	0	0	0	0
MIR5581	1	1	1	0
SNIP1	0	0	0	0
GNL2	0	0	0	0
C1orf109	0	0	0	0
CDCA8	0	0	0	0
EPHA10	0	1	0	0
MANEAL	1	0	0	0
YRDC	0	1	0	0
C1orf122	1	0	0	0
MTF1	0	0	0	0
INPP5B	0	0	0	0
SF3A3	1	0	0	0
FHL3	0	0	0	1
UTP11L	0	0	0	0
RRAGC	0	0	0	0
RP5-864K19.4	0	0	0	0
MYCBP	0	0	0	0
RHBDL2	0	0	1	1
AKIRIN1	0	0	0	0
NDUFS5	0	0	0	0
MACF1	0	0	0	0
RP11-69E11.4	1	1	0	1
PPIEL	1	0	0	0
PABPC4	0	0	0	0
HEYL	0	0	1	1
NT5C1A	1	0	0	0
HPCAL4	1	1	1	1
PPIE	0	0	0	0
BMP8B	0	0	0	0
OXCT2	0	0	0	1
RP1-118J21.25	0	0	1	0
TRIT1	0	0	0	0
MYCL	0	0	0	0
MFSD2A	1	1	0	1
CAP1	0	0	0	0
PPT1	0	0	0	0
RLF	0	0	0	0
RP1-39G22.7	0	0	0	0
ZMPSTE24	1	0	0	1
COL9A2	1	0	0	1
SMAP2	0	0	0	0
ZFP69B	0	0	0	0
RP1-228H13.5	0	0	0	0
ZFP69	0	0	0	0
RP11-656D10.3	0	1	1	0
EXO5	1	0	0	0
ZNF684	0	0	0	0
RIMS3	1	0	1	1
RP4-739H11.3	0	0	1	1
NFYC-AS1	0	0	0	0
NFYC	0	0	0	0
KCNQ4	0	0	0	0
CITED4	1	1	0	0
CTPS1	0	0	0	0
SCMH1	0	0	0	0
RP11-399E6.1	0	0	1	0
HIVEP3	0	0	0	0
FOXJ3	0	0	0	0
RIMKLA	0	0	1	0
ZMYND12	1	1	0	0
PPCS	0	0	0	0
CCDC30	0	1	0	0
PPIH	0	0	0	0
YBX1	0	0	0	0
P3H1	0	0	0	0
CCDC23	0	0	0	0
ERMAP	1	0	0	0
ZNF691	0	0	0	0
ATP6V1E1P1	0	0	1	1
SLC2A1	0	1	0	0
SLC2A1-AS1	1	0	1	0
EBNA1BP2	0	0	0	0
CFAP57	0	0	0	0
MPL	0	0	1	0
RP1-92O14.3	0	0	0	0
CDC20	0	1	0	0
ELOVL1	0	0	0	0
MED8	0	0	0	0
SZT2	0	0	0	0
SZT2-AS1	0	0	0	0
HYI	0	0	0	0
HYI-AS1	0	0	0	0
PTPRF	0	0	0	1
KDM4A	0	0	0	0
KDM4A-AS1	1	0	0	0
ST3GAL3	0	0	0	0
ARTN	0	1	0	1
RP11-7O11.3	1	0	0	0
IPO13	0	0	0	0
DPH2	0	0	0	0
ATP6V0B	1	0	0	0
B4GALT2	0	0	0	0
CCDC24	0	1	0	0
SLC6A9	0	0	0	0
RP5-1198O20.4	1	0	0	0
RP5-891H21.5	1	1	1	0
DMAP1	0	0	0	0
ERI3	0	0	0	0
RNF220	0	0	0	0
TMEM53	0	0	0	0
C1orf228	0	1	0	1
KIF2C	0	0	0	0
RP11-269F19.2	0	0	0	0
RPS8	0	0	0	0
SNORD46	0	0	0	0
SNORD38A	0	0	0	0
BEST4	0	0	0	0
PLK3	0	0	0	0
BTBD19	0	1	0	0
PTCH2	0	0	0	0
EIF2B3	0	0	0	0
HECTD3	0	0	0	0
UROD	0	0	0	0
ZSWIM5	1	1	1	0
HPDL	1	0	0	0
MUTYH	0	0	0	0
TOE1	1	0	0	0
TESK2	1	0	0	0
MMACHC	1	0	0	0
PRDX1	0	0	0	0
AKR1A1	0	0	0	0
NASP	0	0	0	0
CCDC17	1	0	0	0
GPBP1L1	1	0	0	0
RPS15AP10	1	0	1	0
RP11-767N6.2	1	0	0	0
TMEM69	0	0	0	0
IPP	0	0	0	0
RP11-767N6.7	1	0	0	0
MAST2	1	0	0	0
PIK3R3	0	0	0	0
TSPAN1	0	0	1	1
POMGNT1	0	0	0	0
LURAP1	1	0	1	1
RAD54L	0	0	0	0
LRRC41	0	0	0	0
UQCRH	0	0	0	0
NSUN4	0	0	0	0
FAAH	0	0	0	0
FAAHP1	0	0	0	0
LINC00505	0	1	0	1
DMBX1	0	0	0	0
MKNK1	0	0	0	0
MOB3C	1	0	0	0
ATPAF1	0	0	0	0
EFCAB14	0	0	0	0
TEX38	0	0	1	0
CYP4X1	0	0	0	1
CYP4Z1	0	0	1	1
CYP4A22-AS1	0	1	0	0
CYP4A22	0	0	0	0
LINC00853	0	1	0	0
PDZK1IP1	0	1	1	1
STIL	0	0	0	0
CMPK1	0	0	0	0
FOXD2-AS1	0	0	0	0
FOXD2	0	0	0	0
SPATA6	0	0	1	1
FAF1	0	0	0	0
CDKN2C	0	0	0	0
RNF11	0	1	0	0
TTC39A	0	0	0	0
EPS15	0	0	0	0
RP11-191G24.1	0	0	0	0
CALR4P	0	0	1	0
OSBPL9	0	0	0	0
NRD1	0	0	0	0
RP4-657D16.3	1	0	0	1
RAB3B	1	0	0	0
TXNDC12	1	0	0	0
KTI12	0	0	0	0
BTF3L4	0	0	0	0
ZFYVE9	0	0	0	0
CC2D1B	0	0	0	0
PLA2G12AP1	1	0	0	0
ORC1	1	1	0	0
PRPF38A	0	0	0	0
ZCCHC11	0	0	0	0
COA7	0	0	0	0
ZYG11B	0	0	0	0
RPS13P2	0	1	1	0
ECHDC2	1	1	0	1
SCP2	0	0	0	0
CPT2	0	0	0	0
C1orf123	0	0	0	0
MAGOH	0	0	0	0
LRP8	0	0	0	0
RP4-784A16.5	1	1	0	0
GLIS1	1	1	0	0
NDC1	1	0	0	0
YIPF1	1	0	0	0
HSPB11	0	0	0	0
LRRC42	0	0	0	0
TMEM59	0	0	0	0
TCEANC2	0	0	0	0
CYB5RL	0	0	0	0
MRPL37	0	0	0	0
SSBP3	0	0	0	0
ACOT11	0	0	1	0
PARS2	0	0	0	0
DHCR24	1	0	0	0
USP24	0	0	0	0
PPAP2B	0	0	0	1
PRKAA2	0	1	1	1
OMA1	1	0	0	0
TACSTD2	1	0	0	0
MYSM1	1	0	0	0
JUN	0	0	0	0
RP11-63G10.2	0	0	1	0
FGGY	0	0	0	0
RP11-776H12.1	1	1	0	1
NFIA	0	1	1	1
TM2D1	0	0	0	0
RP11-430G17.3	0	0	0	0
INADL	1	0	0	0
KANK4	0	0	0	0
USP1	0	0	0	0
ATG4C	0	0	0	0
FOXD3-AS1	1	0	1	1
ALG6	1	0	0	0
ITGB3BP	0	0	0	0
EFCAB7	0	0	0	0
DLEU2L	1	0	0	0
PGM1	0	0	0	0
ROR1	0	1	1	1
ROR1-AS1	1	1	1	1
