tg,tf
HIST3H2A,IRF1
BACH1,IRF1
ELK4,IRF1
IER5,IRF1
ATF3,IRF1
VPS28,IRF1
NR1D1,IRF1
EIF1,IRF1
FOSL2,IRF1
AVL9,IRF1
CPEB3,IRF1
CDKN1B,IRF1
BBC3,IRF1
TRIM7,IRF1
JARID2,IRF1
DUSP1,IRF1
COQ10B,IRF1
SLC7A7,IRF1
MTF2,IRF1
GRAMD1A,IRF1
FGD6,IRF1
LDLR,IRF1
DEF6,IRF1
RAB43,IRF1
ZFP36,IRF1
PTAR1,IRF1
SESN2,IRF1
PIM3,IRF1
RAB2B,IRF1
TICAM1,IRF1
ABHD4,IRF1
RHOBTB3,IRF1
SLC38A2,IRF1
SOCS4,IRF1
MCL1,IRF1
ZBTB10,IRF1
NFKB2,IRF1
BCL6,IRF1
ONECUT3,IRF1
GLRX,IRF1
PARD6B,IRF1
TIFA,IRF1
DCAF11,IRF1
OXR1,IRF1
PDK1,IRF1
CCDC80,IRF1
GRB7,IRF1
TSHZ1,IRF1
GADD45B,IRF1
FAM78A,IRF1
CITED4,IRF1
SCML2,IRF1
NCOA3,IRF1
TLR1,IRF1
RAP2B,IRF1
DCP2,IRF1
ARVCF,IRF1
GDF15,IRF1
PDP2,IRF1
STK17B,IRF1
CCNG1,IRF1
OTUD4,IRF1
MIDN,IRF1
GIMAP2,IRF1
HELB,IRF1
RGS2,IRF1
H1FX-AS1,IRF1
PHOSPHO1,IRF1
ODF3B,IRF1
IDI1,IRF1
FUT1,IRF1
IRAK2,IRF1
KLHL28,IRF1
SSH2,IRF1
NR4A2,IRF1
NFKBIA,IRF1
KDM5B,IRF1
DDX59,IRF1
NRIP3,IRF1
MAPK6,IRF1
ZNF184,IRF1
WEE1,IRF1
IL15RA,IRF1
HES6,IRF1
ACSL4,IRF1
EREG,IRF1
DEPDC1B,IRF1
MTHFD2,IRF1
TRIB3,IRF1
PCDH18,IRF1
ZNF267,IRF1
XRCC4,IRF1
SIAH2,IRF1
BTG3,IRF1
SH3RF1,IRF1
LYPLA1,IRF1
MRPS26,IRF1
TLR6,IRF1
RNF138,IRF1
RASL11B,IRF1
UBE2D1,IRF1
FGF2,IRF1
PIM2,IRF1
PPTC7,IRF1
SDCBP,IRF1
SBNO2,IRF1
ZNF668,IRF1
H1FX,IRF1
GOT1,IRF1
CDK1,IRF1
NFKBIE,IRF1
RNF11,IRF1
TNPO1,IRF1
HIST1H1C,IRF1
TTC33,IRF1
NDUFB8,IRF1
IER5L,IRF1
ZNF628,IRF1
DNAJB4,IRF1
MACC1,IRF1
